,ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,bid_sz_00,bid_ct_00,ask_px_00,ask_sz_00,ask_ct_00,bid_px_01,bid_sz_01,bid_ct_01,ask_px_01,ask_sz_01,ask_ct_01,bid_px_02,bid_sz_02,bid_ct_02,ask_px_02,ask_sz_02,ask_ct_02,bid_px_03,bid_sz_03,bid_ct_03,ask_px_03,ask_sz_03,ask_ct_03,bid_px_04,bid_sz_04,bid_ct_04,ask_px_04,ask_sz_04,ask_ct_04,bid_px_05,bid_sz_05,bid_ct_05,ask_px_05,ask_sz_05,ask_ct_05,bid_px_06,bid_sz_06,bid_ct_06,ask_px_06,ask_sz_06,ask_ct_06,bid_px_07,bid_sz_07,bid_ct_07,ask_px_07,ask_sz_07,ask_ct_07,bid_px_08,bid_sz_08,bid_ct_08,ask_px_08,ask_sz_08,ask_ct_08,bid_px_09,bid_sz_09,bid_ct_09,ask_px_09,ask_sz_09,ask_ct_09,symbol,order_id
0,2025-07-29T20:12:00.887895000Z,2025-07-29T20:12:00.887895000Z,10,2,1108,S,N,0,,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
1,2025-07-29T20:12:00.888073000Z,2025-07-29T20:12:00.888073000Z,10,2,1108,S,N,0,,0,0,0,1,5.51,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
2,2025-07-29T20:12:00.888120000Z,2025-07-29T20:12:00.888120000Z,10,2,1108,S,N,0,,0,0,0,2,5.51,100,1,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
3,2025-07-29T20:12:00.888146000Z,2025-07-29T20:12:00.888146000Z,10,2,1108,S,N,0,,0,0,0,3,5.90,100,1,21.33,100,1,5.51,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
4,2025-07-29T20:12:00.888174000Z,2025-07-29T20:12:00.888174000Z,10,2,1108,S,N,0,,0,0,0,4,5.90,100,1,20.94,100,1,5.51,100,1,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
5,2025-07-29T20:12:00.888203000Z,2025-07-29T20:12:00.888203000Z,10,2,1108,S,N,0,,0,0,0,5,5.90,100,1,20.94,100,1,,0,0,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
6,2025-07-29T20:12:00.888228000Z,2025-07-29T20:12:00.888228000Z,10,2,1108,S,N,0,,0,0,0,6,5.90,100,1,20.94,100,1,5.37,100,1,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
7,2025-07-29T20:12:00.888276000Z,2025-07-29T20:12:00.888276000Z,10,2,1108,S,N,0,,0,0,0,7,5.37,100,1,20.94,100,1,,0,0,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
8,2025-07-29T20:12:00.888308000Z,2025-07-29T20:12:00.888308000Z,10,2,1108,S,N,0,,0,0,0,8,5.40,100,1,20.94,100,1,5.37,100,1,21.33,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
9,2025-07-29T20:12:00.888340000Z,2025-07-29T20:12:00.888340000Z,10,2,1108,S,N,0,,0,0,0,9,5.40,100,1,21.33,100,1,5.37,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
